id,tts
206394,Vale Figueira ( Estrada Bela Vista ) Câmara Municipal Almada
307236,Vale Fetal ( Estrada Bela Vista 60 )
939097,Estrada Bela Vista 100 Rotunda Marco Geodésico
323439,Estrada Bela Vista 100 Rotunda Marco Geodésico
942698,Vale Fetal ( Cruzamento Entre ( Estrada Bela Vista ) E Rua Cris Lopes )
782889,Vale Fetal ( Cruzamento Entre ( Estrada Bela Vista ) E Rua Cris Lopes )
860215,Vale Fetal Estrada Bela Vista 186 ( Escola )
741887,Vale Fetal Estrada Bela Vista 186 ( Escola )
259502,Charnéca De Caparíca ( Cruzamento Entre ( Estrada Bela Vista 206 ) E Quinta Nova )
375895,Charnéca De Caparíca ( Rua Ramada Curto 13 )
149074,Palhais Rua Azinhaga Carreta 9 ( Rotunda )
601956,Rua Rui Furtado ( Rotunda )
723389,Alameda Amália Rodrigues
115913,Alameda Amália Rodrigues
302731,Charnéca De Caparíca ( Rua Presidente Arriaga 72 )
144373,Charnéca De Caparíca ( Rua Presidente Arriaga 72 )
982121,Rua Das Sardinheiras ( Número 15 )
541086,Rua Das Sardinheiras ( Número 15 )
459204,Rua Pero Vaz De Caminha ( Número 17 )
411962,Rua Pero Vaz De Caminha ( Número 17 )
288011,Rua De Vera Cruz ( Número 49 )
675652,Rua De Vera Cruz ( Número 49 )
869547,Rua Quinta Dos Eucaliptos ( Número 31 )
713420,Rua Quinta Dos Eucaliptos ( Número 31 )
102794,Charnéca De Caparíca ( Rua Pedro Costa 1284 ) Vale Bem
792298,Charnéca De Caparíca ( Rua Pedro Costa 1284 ) Vale Bem
529033,Charnéca De Caparíca ( Rua Pedro Costa ) Tremoceira
274894,Charnéca De Caparíca ( Rua Pedro Costa ) Tremoceira
484550,Marisol ( Rua António Soares ( Número 10 ) )
230339,Marisol ( Rua António Soares ( Número 10 ) )
804293,Charnéca De Caparíca Rotunda Alameda Amália Rodrigues 3
883410,Charnéca De Caparíca Rotunda Alameda Amália Rodrigues 3
176924,Charnéca De Caparíca ( Rua Elias Garcia ) Monserrate
311435,Charnéca De Caparíca ( Rua Elias Garcia ) Monserrate
881670,Charnéca De Caparíca ( Estrada Bela Vista 191 )
693264,Charnéca De Caparíca ( Cruzamento Entre ( Estrada Bela Vista 179 ) E Quinta Nova )
311070,Vale Fetal Estrada Bela Vista 71 ( Rotunda )
623174,Vale Figueira ( Rua Vale Figueira ) Posto De Abastecimento
586680,Vale Figueira ( Rua Vale Figueira ) Centro Hip
600359,Feijó ( Cemitério ) Externato
890922,Almada ( Práça Gil Vicente ) Escola
299099,Práça Do Comércio 9
264678,Rua Fernão Lopes 14
543980,Almada ( Rua Capitão Leitão ( Número 79 ) )
944294,Almada ( Rua Capitão Leitão ( Número 107 ) )
291146,Almada ( Rua Capitão Leitão ( Número 43 Á ) )
383258,Rua Dom José De Mascarenhas ( Número 65 )
973799,Rua Francisco De Andrade - Um
752077,Rua Infanta Dona Beatriz - Um
666521,Rua Elias Garcia 11
515864,Rua Florbela Espanca ( Frente Escola )
285882,Rua Comandante António Feio 10
904919,Aroeira ( Avenida Belverde - Um )
820198,Aroeira ( Avenida Belverde - Um )
528313,Avenida Dom Afonso Henriques ( Número 28 )
417011,Avenida Dom Afonso Henriques ( Número 28 )
113175,Avenida Dom Afonso Henriques ( Número 24 Á )
646165,Avenida Dom Afonso Henriques ( Número 24 Á )
975434,Marisol ( Cruzamento Entre ( Rua Soares Reis ) E Rua Dom João Segundo )
351925,Marisol ( Cruzamento Entre ( Rua Soares Reis ) E Rua Dom João Segundo )
995228,Marisol ( Rua António Soares ( Número 74 ) )
372022,Marisol ( Rua António Soares ( Número 74 ) )
622761,Avenida De Vale Bem 35
